NDFA_patients__n_,NDFA_patients__Age_at_assessment__years_,NDFA_patients_linked_to_NDA__Duration_of_diabetes__years_,Cases_with_SINBAD_Depth_recorded__n_,Cases_with_SINBAD_Neuropathy_recorded__n_,Cases_with_SINBAD_Ischaemia_recorded__n_,Cases_with_SINBAD_Bacterial_Infection_recorded__n_,Cases_with_SINBAD_Site_recorded__n_,Cases_with_SINBAD_Area_recorded__n_,Case_ascertainment__2015_16_____,Case_ascertainment__2016_17_____,Case_ascertainment__2017_18_____,NDFA_patients_linked_to_NDA__Male____,NDFA_patients_linked_to_NDA__Female____,Cases_seen_within_14_days___2_months__n_,Cases_seen_within___2_months__n_
205,70.5,16.5,30,200,75,55,40,95,,,,73.2,26.8,75,45
265,70.4,16.2,45,280,100,145,70,125,,,,69.8,32.1,80,30
245,68.5,15.1,45,325,105,145,60,205,,,,74.5,25.5,55,20
230,65.9,18.3,50,260,50,120,55,165,,,,73.3,26.7,55,25
215,65.3,14.5,45,220,90,90,35,190,10.0,9.3,12.0,67.5,32.5,90,50
215,65.3,14.5,45,220,90,90,35,190,,,,67.5,32.5,90,50
515,70.7,16.7,95,485,255,275,115,235,,,,70.9,29.1,270,50
500,65.8,15.7,180,570,240,315,85,440,,,,71,29,135,70
295,69.2,15.7,25,260,100,90,60,135,,,,72.9,27.1,30,10
295,69.2,15.6,25,265,105,90,60,140,,,,72.9,27.1,30,10
470,72.1,15.5,25,425,170,115,40,150,,,,68.1,31.9,120,115
525,66,14.9,120,580,145,315,130,365,,,,72.4,27.6,135,50
470,72.2,15.4,25,425,175,115,40,155,,,,68.1,31.9,130,110
235,65.2,16.1,50,230,90,100,45,145,,,,78.7,19.1,70,20
300,69.5,15.7,25,260,100,90,55,135,,,,72.4,27.6,30,10
300,69.5,15.7,25,260,100,90,55,135,,,,72.4,27.6,30,10
220,65.6,15.6,45,185,80,105,50,125,,,,63.6,36.4,15,15
210,63.6,15.4,35,235,35,80,30,120,,,,72.5,27.5,20,5
260,66.9,15.2,25,230,120,80,55,140,,,,73.1,26.9,20,5
835,67.1,16.5,170,725,355,465,125,500,42.3,44.6,56.2,70.2,29.8,300,100
835,67.1,16.5,170,725,355,465,125,500,,,,70.2,29.8,300,100
265,70.5,16,45,235,130,85,60,145,,,,71.7,28.3,30,5
240,66.3,15.6,90,300,150,200,45,180,5.7,11.4,31.4,74.4,25.6,35,10
235,66.2,16.5,65,225,110,130,40,165,,,,74.5,27.7,75,30
280,70.6,16.5,45,245,140,90,65,155,,,,72.7,29.1,35,5
260,66.1,16.7,50,345,150,160,65,215,,,,74,26,30,15
260,66.1,16.7,50,345,150,160,65,215,,,,74,26,30,15
530,69.4,11.6,60,415,180,175,100,185,,,,63.2,36.8,35,20
500,70.2,12.3,120,560,280,245,200,315,,,,66,35,35,30
245,65.4,15.5,30,255,120,130,40,170,,,,67.3,32.7,65,10
280,69.4,15.4,50,165,90,120,45,115,0.0,60.0,60.0,66,34,30,10
255,70.5,18.6,45,245,135,135,60,120,54.3,42.9,60.0,71.4,28.6,165,25
240,65.9,14.5,45,330,65,140,45,150,,,,77.1,22.9,80,15
290,66.9,15.3,35,255,140,95,60,165,2.0,9.6,13.2,74.5,25.5,20,10
290,66.9,15.3,35,255,140,95,60,165,,,,74.5,25.5,20,10
495,72,15.6,25,435,180,115,40,155,0.0,25.8,61.7,67,31.9,130,115
495,72,15.6,25,435,180,115,40,155,,,,67,31.9,130,115
270,70.2,15.1,70,235,75,185,40,155,,,,66.7,31.5,40,20
290,68.2,16.5,70,280,115,165,85,180,9.1,11.8,35.5,70.2,28.1,90,50
290,68.2,16.5,70,280,115,165,85,180,,,,70.2,28.1,90,50
290,65.9,16,205,245,95,250,90,310,,,,74,26,125,80
290,65.9,16,205,245,95,250,90,310,,,,74,26,125,80
295,66.5,14.6,40,205,150,130,75,130,,,,69.5,30.5,145,5
255,71.1,16,45,240,95,65,40,125,,,,68.6,31.4,85,45
255,66,14.3,30,340,65,140,50,145,,,,75.5,24.5,80,10
255,66,14.3,30,340,65,140,50,145,,,,75.5,24.5,80,10
305,66.2,15.4,110,310,160,195,65,225,,,,70.5,29.5,80,40
270,66,15.6,30,285,125,135,45,185,,,,67.3,32.7,75,10
295,68.8,15.2,70,290,115,150,65,170,,,,71.2,28.8,70,40
290,68,15.2,85,280,85,150,55,205,,,,74.5,25.5,100,125
290,68,15.2,85,280,85,150,55,205,,,,74.5,25.5,100,125
320,62,17.3,175,355,175,265,65,275,,,,79,21,25,10
925,67.2,15.4,155,870,450,465,170,600,,,,74.6,25.4,90,35
900,65.8,15.4,295,915,425,575,235,585,,,,69.4,30,170,150
280,66.7,15.7,105,325,145,255,65,255,,,,67.9,30.4,80,35
365,71.3,16.1,80,355,170,190,60,170,,,,71,29,125,40
290,66.2,16.1,30,225,85,105,45,170,,,,76.4,23.6,150,30
280,67.6,15.7,55,270,100,180,45,135,,,,72.2,27.8,50,15
